x,edad,sexo,p_originario
876,100,M,no
877,78,H,no
878,59,M,no
879,54,M,no
880,29,H,no
881,74,M,no
882,27,H,no
883,58,M,no
884,16,H,no
885,10,M,no
886,42,M,si
887,61,H,no
888,56,M,no
889,22,M,no
890,56,H,no
891,65,M,no
892,59,H,no
893,66,M,si
894,45,M,no
895,49,M,no
896,22,M,no
897,63,H,si
898,57,H,no
899,53,H,no
900,51,M,no
901,23,M,no
902,56,M,no
903,51,M,no
904,52,H,no
905,28,H,si
906,67,M,no
907,28,M,no
908,54,M,no
909,12,M,si
910,34,M,no
911,29,H,no
912,67,H,no
913,9,M,no
914,39,M,no
915,54,H,no
916,33,M,no
917,86,M,no
918,30,M,no
919,3,H,no
920,7,M,no
921,19,H,no
922,73,H,no
923,4,M,no
924,23,M,no
925,16,H,no
926,55,M,no
927,59,M,no
928,92,M,no
929,4,H,no
930,24,H,no
931,43,M,no
932,23,H,no
933,35,M,si
934,27,H,no
935,78,M,no
936,31,M,no
937,0,H,no
938,26,M,no
939,68,M,no
940,17,M,si
941,68,H,no
942,51,H,no
943,22,M,no
944,40,M,si
945,25,M,si
946,45,H,no
947,20,M,si
948,5,H,no
949,32,M,no
950,67,M,no
951,62,M,no
952,0,M,no
953,30,M,si
954,19,M,no
955,34,M,si
956,31,M,no
957,45,H,no
958,34,H,no
959,26,H,no
960,44,M,no
961,44,H,si
962,30,H,no
963,40,M,si
964,21,H,no
965,9,H,no
966,50,H,no
967,36,H,no
968,66,M,no
969,61,H,no
970,36,H,no
971,0,H,no
972,35,M,no
973,0,M,no
974,10,M,no
975,58,H,no
976,0,M,si
977,28,M,no
978,36,M,no
979,68,M,no
980,59,M,si
981,27,M,no
982,13,M,no
983,34,M,no
984,23,M,si
985,4,H,no
986,53,M,no
987,55,M,no
988,8,H,no
989,85,M,no
990,27,M,no
991,20,H,no
992,62,M,no
993,7,M,si
994,35,M,no
995,28,H,no
996,18,H,si
997,54,M,no
998,63,H,no
999,39,H,no
1000,49,M,no
1001,32,M,no
1002,22,M,no
1003,49,H,no
1004,17,M,si
1005,31,M,no
1006,36,M,no
1007,3,M,no
1008,19,M,no
1009,1,H,no
1010,14,H,no
1011,55,M,no
1012,10,H,no
1013,8,M,no
1014,80,M,no
1015,44,H,no
1016,26,H,no
1017,89,M,no
1018,27,M,no
1019,37,H,no
1020,26,M,no
1021,25,M,si
1022,25,M,no
1023,1,M,no
1024,22,M,no
1025,19,M,no
1026,31,H,si
1027,15,M,no
1028,36,H,no
1029,7,H,no
1030,33,M,no
1031,46,H,no
1032,37,M,no
1033,45,H,no
1034,72,H,no
1035,28,H,no
1036,65,H,no
1037,29,H,no
1038,54,M,no
1039,9,M,no
1040,36,M,no
1041,53,H,no
1042,42,H,no
1043,28,H,no
1044,39,M,no
1045,56,H,no
1046,23,M,no
1047,40,M,no
1048,48,H,no
1049,31,H,no
1050,55,M,no
1051,46,M,si
1052,41,M,no
1053,14,H,no
1054,31,H,no
1055,59,H,no
1056,6,H,no
1057,7,H,no
1058,69,H,no
1059,11,H,no
1060,3,H,no
1061,6,H,si
1062,53,H,no
1063,10,M,no
1064,62,H,no
1065,71,M,no
1066,17,M,no
1067,29,H,si
1068,32,H,no
1069,38,M,no
1070,28,M,no
1071,35,M,no
1072,27,M,no
1073,45,M,no
1074,8,M,no
1075,14,M,no
1076,6,M,si
1077,20,M,no
1078,50,H,no
1079,77,H,no
1080,14,M,no
1081,2,H,si
1082,54,H,no
1083,66,M,si
1084,1,H,no
1085,25,H,no
1086,67,M,no
1087,1,H,no
1088,13,H,no
1089,47,H,no
1090,32,H,no
1091,27,H,si
1092,75,M,no
1093,27,M,no
1094,14,H,no
1095,11,H,si
1096,27,H,no
1097,53,H,no
1098,70,H,no
1099,35,M,no
1100,35,M,no
1101,24,M,no
1102,24,H,no
1103,10,H,si
1104,73,M,no
1105,34,H,no
1106,65,H,si
1107,14,H,si
1108,52,H,no
1109,37,M,no
1110,9,H,no
1111,78,H,no
1112,12,H,no
1113,55,M,no
1114,27,M,no
1115,85,H,no
1116,10,H,no
1117,23,H,no
1118,41,M,no
1119,60,H,no
1120,72,H,no
1121,59,M,no
1122,62,H,no
1123,57,M,no
1124,1,M,no
1125,80,M,no
1126,33,M,no
1127,43,M,no
1128,2,H,no
1129,86,H,no
1130,43,H,no
1131,29,H,no
